,title,release_date,poster,allocine_id,genre
105,Léger tremblement du paysage,2009-08-26,http://fr.web.img4.acsta.net/medias/nmedia/18/71/65/39/19146625.jpg,139266,Drame
106,"La Danse, le ballet de l'Opéra de Paris",2009-10-07,http://fr.web.img3.acsta.net/medias/nmedia/18/71/10/73/19146642.jpg,141826,Documentaire
107,La Loi de Murphy,2009-11-04,http://fr.web.img1.acsta.net/medias/nmedia/18/71/29/90/19175377.jpg,142082,Comédie
108,Réaction en chaîne,1981-02-04,http://fr.web.img5.acsta.net/medias/nmedia/18/79/10/08/19490192.jpg,13058,Drame
109,Un Papillon sur l'épaule,1978-05-03,http://fr.web.img2.acsta.net/medias/nmedia/18/77/09/57/19355665.jpg,15874,Drame
110,Reactions en chaine,1998-08-12,http://fr.web.img4.acsta.net/medias/nmedia/18/71/36/91/19132709.jpg,18434,Drame
114,L'Eté des poissons volants,2014-04-23,http://fr.web.img2.acsta.net/pictures/14/03/24/13/32/568910.jpg,220930,Drame
115,Pour un garçon,2002-11-13,http://fr.web.img5.acsta.net/medias/nmedia/00/02/50/84/affiche.jpg,28418,Comédie
122,Belle Épine,2010-11-10,http://fr.web.img3.acsta.net/medias/nmedia/18/77/80/59/19528876.jpg,173826,Drame
123,Les Ambitieux,2007-01-24,http://fr.web.img3.acsta.net/medias/nmedia/18/60/04/55/18707366.jpg,109314,Comédie
124,El Custodio (le garde du corps),2007-04-04,http://fr.web.img5.acsta.net/medias/nmedia/18/36/41/13/18747780.jpg,109826,Drame
126,Pingpong,2007-01-24,http://fr.web.img1.acsta.net/medias/nmedia/18/60/15/18/18654038.jpg,111362,Drame
127,The Eye,2003-08-27,http://fr.web.img2.acsta.net/medias/nmedia/18/35/10/02/affiche2.jpg,47362,Thriller-Policier
128,L'Etat sauvage,1978-04-19,http://fr.web.img3.acsta.net/medias/nmedia/18/62/90/47/18658350.jpg,47874,Drame
129,L'Enfant au violon,2003-12-17,http://fr.web.img1.acsta.net/medias/nmedia/18/35/16/08/18365556.jpg,48130,Drame
131,Le Diable dans la peau,2013-03-27,http://fr.web.img4.acsta.net/medias/nmedia/18/96/02/77/20440501.jpg,185090,Drame
132,Le Fossé,2012-03-14,http://fr.web.img6.acsta.net/medias/nmedia/18/88/74/85/20003907.jpg,185346,Drame
133,Petites confidences (à ma psy),2006-02-15,http://fr.web.img5.acsta.net/medias/nmedia/18/35/85/51/18465720.jpg,54786,Comédie
135,Une grande année,2007-01-03,http://fr.web.img6.acsta.net/medias/nmedia/18/36/26/48/18704327.jpg,56066,Comédie
139,La Maison du bonheur,2006-06-07,http://fr.web.img3.acsta.net/medias/nmedia/18/36/39/71/18606839.jpg,61186,Comédie
140,Frozen days,2007-11-21,http://fr.web.img2.acsta.net/medias/nmedia/18/64/40/08/20181674.jpg,127490,Thriller-Policier
141,Elle s'appelle Sabine,2008-01-30,http://fr.web.img4.acsta.net/medias/nmedia/18/64/35/73/18893440.jpg,128514,Documentaire
145,Scènes de chasse en Bavière,2009-11-18,http://fr.web.img4.acsta.net/medias/nmedia/18/72/77/00/19201836.jpg,1539,Drame
