allocine_id,title,release_date,pays,poster,genres
220936,Le Géant égoïste,2013-12-18,,http://fr.web.img5.acsta.net/pictures/210/016/21001674_20131025171226319.jpg,['Drame']
221960,Les Recettes du bonheur,2014-09-10,,http://fr.web.img2.acsta.net/pictures/14/07/07/12/02/320290.jpg,['Comédie-dramatique']
222984,Les Terrasses,2015-05-06,,http://fr.web.img1.acsta.net/pictures/15/03/16/10/08/286721.jpg,['Drame']
223240,Repas de famille,2014-12-03,,http://fr.web.img3.acsta.net/pictures/14/10/22/10/29/337789.jpg,['Comédie']
223752,La Paz,2014-09-17,,http://fr.web.img6.acsta.net/pictures/14/09/02/17/34/097504.jpg,['Drame']
172808,Real Steel,2011-10-19,,http://fr.web.img3.acsta.net/medias/nmedia/18/78/46/71/19814437.jpg,['Action' 'Drame' 'Science-fiction']
175624,My Name Is Khan,2010-05-26,,http://fr.web.img2.acsta.net/medias/nmedia/18/76/84/68/19434195.jpg,['Comédie-musicale' 'Drame']
110600,L'Enfance du mal,2010-05-12,,http://fr.web.img2.acsta.net/medias/nmedia/18/77/63/34/19416411.jpg,['Drame' 'Thriller']
178184,Identité Secrète,2011-09-28,,http://fr.web.img6.acsta.net/medias/nmedia/18/84/94/38/19789234.jpg,['Action' 'Thriller']
193032,Des jeunes gens modernes,2012-08-08,,http://fr.web.img6.acsta.net/pictures/15/11/19/11/32/234778.jpg,['Comédie-musicale' 'Documentaire' 'Drame']
193544,Promised Land,2013-04-17,,http://fr.web.img6.acsta.net/medias/nmedia/18/93/52/00/20360511.jpg,['Drame']
197897,Foxcatcher,2015-01-21,,http://fr.web.img4.acsta.net/pictures/14/12/11/10/49/226062.jpg,['Biopic' 'Drame']
2313,Quadrophenia,2013-06-26,,http://fr.web.img4.acsta.net/medias/nmedia/18/97/58/68/20538091.jpg,['Comédie-musicale']
201225,L'Art de la fugue,2015-03-04,,http://fr.web.img2.acsta.net/pictures/15/02/05/14/03/106534.jpg,['Comédie-dramatique']
205321,Sex Tape,2014-09-10,,http://fr.web.img6.acsta.net/pictures/14/08/12/14/59/426966.jpg,['Comédie']
205577,La Cité Rose,2013-03-27,,http://fr.web.img2.acsta.net/medias/nmedia/18/96/07/93/20448560.jpg,['Comédie-dramatique']
207625,"Aimer, boire et chanter",2014-03-26,,http://fr.web.img1.acsta.net/pictures/14/01/29/12/09/469027.jpg,['Comédie' 'Drame']
223753,"Men, Women & Children",2014-12-10,,http://fr.web.img4.acsta.net/pictures/14/12/01/13/01/359221.jpg,['Comédie-dramatique']
231945,Haramiste,2015-07-01,,http://fr.web.img1.acsta.net/pictures/15/06/24/14/15/344647.jpg,['Comédie']
175625,Le Roman de ma femme,2011-03-02,,http://fr.web.img2.acsta.net/medias/nmedia/18/82/79/60/19665307.jpg,['Drame']
178185,Riddick,2013-09-18,,http://fr.web.img5.acsta.net/pictures/210/196/21019616_20130715162713722.jpg,['Action' 'Science-fiction']
186377,Le Président,2010-12-15,,http://fr.web.img5.acsta.net/medias/nmedia/18/82/09/58/19598983.jpg,['Documentaire']
198666,Le Sommeil d'or,2012-09-19,,http://fr.web.img4.acsta.net/medias/nmedia/18/91/32/77/20148018.jpg,['Documentaire']
146954,L'Amour c'est mieux à deux,2010-05-05,,http://fr.web.img1.acsta.net/medias/nmedia/18/72/02/10/19266947.jpg,['Comédie' 'Romance']
216586,Entre deux mondes,2014-12-03,,http://fr.web.img1.acsta.net/pictures/14/11/18/16/49/240933.jpg,['Drame']
218634,Fiston,2014-03-12,,http://fr.web.img6.acsta.net/pictures/14/03/18/11/27/014254.jpg,['Comédie']
222986,Palerme,2014-07-02,,http://fr.web.img5.acsta.net/pictures/14/06/13/15/48/033103.jpg,['Comédie' 'Drame']
225546,Caprice,2015-04-22,,http://fr.web.img4.acsta.net/pictures/15/03/16/14/13/088838.jpg,['Comédie' 'Romance']
175370,L'Homme aux serpents,2014-01-22,,http://fr.web.img6.acsta.net/pictures/14/01/07/10/43/454253.jpg,['Documentaire']
189962,Khodorkovski,2011-11-09,,http://fr.web.img5.acsta.net/medias/nmedia/18/86/22/22/19828886.jpg,['Documentaire']
193546,Y'a pire ailleurs,2012-03-21,,http://fr.web.img6.acsta.net/medias/nmedia/18/86/33/12/19835624.jpg,['Documentaire']
209675,A Coup Sûr,2014-01-15,,http://fr.web.img5.acsta.net/pictures/210/537/21053745_20131029164340332.jpg,['Comédie']
146955,Le Mac,2010-02-17,,http://fr.web.img5.acsta.net/medias/nmedia/18/73/56/97/19208669.jpg,['Comédie']
84747,La Folle escapade,2012-11-28,,http://fr.web.img3.acsta.net/medias/nmedia/18/89/22/59/20341601.jpg,['Animation' 'Drame']
178187,Lock Out,2012-04-18,,http://fr.web.img1.acsta.net/medias/nmedia/18/89/19/07/20034511.jpg,['Action' 'Science-fiction' 'Thriller']
182539,La Dernière Piste,2011-06-22,,http://fr.web.img3.acsta.net/medias/nmedia/18/83/97/75/19730269.jpg,['Western']
183051,"Dernier étage, gauche, gauche",2010-11-17,,http://fr.web.img3.acsta.net/medias/nmedia/18/78/68/81/19587260.jpg,['Comédie' 'Drame']
185867,Guerrière,2013-03-27,,http://fr.web.img6.acsta.net/medias/nmedia/18/95/72/72/20471999.jpg,['Drame']
198668,Teodora pécheresse,2012-09-19,,http://fr.web.img6.acsta.net/medias/nmedia/18/91/93/59/20170528.jpg,['Documentaire']
134156,L'Atelier Enchanté,2011-09-28,,http://fr.web.img2.acsta.net/medias/nmedia/18/85/70/31/19801695.jpg,['Animation']
201484,Grace de Monaco,2014-05-14,,http://fr.web.img6.acsta.net/pictures/14/04/24/15/05/251202.jpg,['Biopic' 'Drame']
145164,"Policier, Adjectif",2010-05-19,,http://fr.web.img6.acsta.net/medias/nmedia/18/77/89/20/19438861.jpg,['Drame']
147468,La Ballade de l'Impossible - Norwegian Wood,2011-05-04,,http://fr.web.img5.acsta.net/medias/nmedia/18/83/33/45/19694032.jpg,['Drame' 'Romance']
213772,Projet Almanac,2015-02-25,,http://fr.web.img3.acsta.net/pictures/15/01/13/11/55/541059.jpg,['Science-fiction']
215308,Le Prince Miiaou,2013-10-16,,http://fr.web.img4.acsta.net/pictures/210/124/21012429_20130613170634044.jpg,['Comédie-musicale' 'Documentaire']
170252,G.I. Joe : Conspiration,2013-03-27,,http://fr.web.img5.acsta.net/medias/nmedia/18/90/29/41/20458499.jpg,['Action' 'Aventure' 'Science-fiction']
177164,Killing Bono,2011-08-03,,http://fr.web.img1.acsta.net/medias/nmedia/18/84/55/06/19765996.jpg,['Comédie' 'Comédie-musicale']
178188,2 Days In New York,2012-03-28,,http://fr.web.img6.acsta.net/medias/nmedia/18/77/69/94/20034907.jpg,['Comédie' 'Romance']
186124,Cristeros,2014-05-14,,http://fr.web.img4.acsta.net/pictures/14/03/04/11/43/302064.jpg,['Action' 'Drame' 'Historique']
189196,Un Jour de Chance,2012-12-12,,http://fr.web.img1.acsta.net/medias/nmedia/18/93/69/00/20276192.jpg,['Comédie-dramatique']
192268,Les Roses noires,2012-11-28,,http://fr.web.img5.acsta.net/medias/nmedia/18/93/99/93/20332341.jpg,['Documentaire']
193548,Protège moi,2014-10-29,,http://fr.web.img4.acsta.net/pictures/14/09/25/14/53/019121.jpg,['Drame']
197901,Le Sac de farine,2014-03-26,,http://fr.web.img1.acsta.net/pictures/14/02/06/17/43/037061.jpg,['Drame']
204301,Mariage à l'anglaise,2013-04-10,,http://fr.web.img3.acsta.net/medias/nmedia/18/96/06/91/20468838.jpg,['Comédie']
206605,Room 514,2013-10-09,,http://fr.web.img5.acsta.net/pictures/201/894/20189438_20130805184128353.jpg,['Drame']
220173,Des escargots et des hommes,2014-12-10,,http://fr.web.img6.acsta.net/pictures/14/11/19/09/45/207912.jpg,['Comédie']
221453,Manglehorn,2015-06-03,,http://fr.web.img2.acsta.net/pictures/15/05/12/15/30/451760.jpg,['Drame']
222221,Une merveilleuse histoire du temps,2015-01-21,,http://fr.web.img5.acsta.net/pictures/14/10/31/17/54/461500.jpg,['Biopic' 'Drame']
27405,Oblivion,2013-04-10,,http://fr.web.img1.acsta.net/medias/nmedia/18/95/15/80/20495053.jpg,['Action' 'Science-fiction']
173325,"La Bella Gente, les gens biens",2011-02-16,,http://fr.web.img4.acsta.net/medias/nmedia/18/82/56/29/19627398.jpg,['Drame']
177165,D'un film à l'autre,2011-04-13,,http://fr.web.img1.acsta.net/medias/nmedia/18/83/15/18/19667997.jpg,['Documentaire']
178189,W.E.,2012-05-09,,http://fr.web.img6.acsta.net/medias/nmedia/18/86/32/49/20017241.jpg,['Drame' 'Romance']
